t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
24251.0,40291.0,80215.0,51655.0,61881.0,59426.0,55812.0,20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0
40291.0,80215.0,51655.0,61881.0,59426.0,55812.0,20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0
80215.0,51655.0,61881.0,59426.0,55812.0,20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0
51655.0,61881.0,59426.0,55812.0,20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0
61881.0,59426.0,55812.0,20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0
59426.0,55812.0,20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0
55812.0,20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0
20418.0,88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0
88864.0,-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0
-42961.0,54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0
54679.0,-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0
-28381.0,91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0
91636.0,27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0
27197.0,24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0
24667.0,41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0
41931.0,-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0
-36168.0,38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0,42344.0
38141.0,26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0,42344.0,217390.0
26423.0,79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0,42344.0,217390.0,178742.0
79055.0,17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0,42344.0,217390.0,178742.0,136302.0
17429.0,13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0,42344.0,217390.0,178742.0,136302.0,214455.0
13515.0,-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0,42344.0,217390.0,178742.0,136302.0,214455.0,224357.0
-1506.0,89605.0,94007.0,122215.0,150096.0,120912.0,42344.0,217390.0,178742.0,136302.0,214455.0,224357.0,199500.0
89605.0,94007.0,122215.0,150096.0,120912.0,42344.0,217390.0,178742.0,136302.0,214455.0,224357.0,199500.0,293665.0
94007.0,122215.0,150096.0,120912.0,42344.0,217390.0,178742.0,136302.0,214455.0,224357.0,199500.0,293665.0,135079.0
122215.0,150096.0,120912.0,42344.0,217390.0,178742.0,136302.0,214455.0,224357.0,199500.0,293665.0,135079.0,144758.0
150096.0,120912.0,42344.0,217390.0,178742.0,136302.0,214455.0,224357.0,199500.0,293665.0,135079.0,144758.0,270291.0
120912.0,42344.0,217390.0,178742.0,136302.0,214455.0,224357.0,199500.0,293665.0,135079.0,144758.0,270291.0,233382.0
42344.0,217390.0,178742.0,136302.0,214455.0,224357.0,199500.0,293665.0,135079.0,144758.0,270291.0,233382.0,286350.0
217390.0,178742.0,136302.0,214455.0,224357.0,199500.0,293665.0,135079.0,144758.0,270291.0,233382.0,286350.0,337850.0
178742.0,136302.0,214455.0,224357.0,199500.0,293665.0,135079.0,144758.0,270291.0,233382.0,286350.0,337850.0,361257.0
136302.0,214455.0,224357.0,199500.0,293665.0,135079.0,144758.0,270291.0,233382.0,286350.0,337850.0,361257.0,243578.0
214455.0,224357.0,199500.0,293665.0,135079.0,144758.0,270291.0,233382.0,286350.0,337850.0,361257.0,243578.0,120914.0
224357.0,199500.0,293665.0,135079.0,144758.0,270291.0,233382.0,286350.0,337850.0,361257.0,243578.0,120914.0,59697.0
199500.0,293665.0,135079.0,144758.0,270291.0,233382.0,286350.0,337850.0,361257.0,243578.0,120914.0,59697.0,33703.0
293665.0,135079.0,144758.0,270291.0,233382.0,286350.0,337850.0,361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0
135079.0,144758.0,270291.0,233382.0,286350.0,337850.0,361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0
144758.0,270291.0,233382.0,286350.0,337850.0,361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0
270291.0,233382.0,286350.0,337850.0,361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0
233382.0,286350.0,337850.0,361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0
286350.0,337850.0,361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0
337850.0,361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0,176640.0
361257.0,243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0,176640.0,117778.0
243578.0,120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0,176640.0,117778.0,120712.0
120914.0,59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0,176640.0,117778.0,120712.0,130040.0
59697.0,33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0,176640.0,117778.0,120712.0,130040.0,95453.0
33703.0,-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0,176640.0,117778.0,120712.0,130040.0,95453.0,258523.0
-10129.0,174115.0,303649.0,130935.0,94117.0,178673.0,176640.0,117778.0,120712.0,130040.0,95453.0,258523.0,103896.0
174115.0,303649.0,130935.0,94117.0,178673.0,176640.0,117778.0,120712.0,130040.0,95453.0,258523.0,103896.0,46493.0
303649.0,130935.0,94117.0,178673.0,176640.0,117778.0,120712.0,130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0
130935.0,94117.0,178673.0,176640.0,117778.0,120712.0,130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0
94117.0,178673.0,176640.0,117778.0,120712.0,130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0
178673.0,176640.0,117778.0,120712.0,130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0
176640.0,117778.0,120712.0,130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0
117778.0,120712.0,130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0
120712.0,130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0
130040.0,95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0
95453.0,258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0
258523.0,103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0
103896.0,46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0
46493.0,-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0
-51515.0,-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0
-28090.0,6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0
6831.0,111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0
111429.0,-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0
-79058.0,19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0
19247.0,17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0
17776.0,54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0
54829.0,123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0
123298.0,-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0
-28487.0,88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0
88676.0,-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0
-371231.0,-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0
-825756.0,-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0
-1116165.0,-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0
-1087694.0,-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0
-1277542.0,-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0,-19314.0
-1312431.0,-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0,-19314.0,-20304.0
-1368719.0,-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0,-19314.0,-20304.0,-36798.0
-1239735.0,-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0,-19314.0,-20304.0,-36798.0,-24913.0
-1194141.0,-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0,-19314.0,-20304.0,-36798.0,-24913.0,-3648.0
-1136305.0,-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0,-19314.0,-20304.0,-36798.0,-24913.0,-3648.0,8723.0
-1212988.0,-1153181.0,-757000.0,-355222.0,-33065.0,-9238.0,-19314.0,-20304.0,-36798.0,-24913.0,-3648.0,8723.0,-460.0
