,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
35,2010-12-01,644221,351,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0,540988.0,1228927.0,685783.0,813967.0,776223.0,979132.0,338800.0
36,2011-01-01,548821,356,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0,540988.0,1228927.0,685783.0,813967.0,776223.0,979132.0
37,2011-02-01,568057,317,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0,540988.0,1228927.0,685783.0,813967.0,776223.0
38,2011-03-01,598068,257,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0,540988.0,1228927.0,685783.0,813967.0
39,2011-04-01,608093,304,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0,540988.0,1228927.0,685783.0
40,2011-05-01,600191,337,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0,540988.0,1228927.0
41,2011-06-01,674402,297,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0,540988.0
42,2011-07-01,745451,396,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0,506527.0
43,2011-08-01,621084,259,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0,707868.0
44,2011-09-01,650071,349,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0,529375.0
45,2011-10-01,656006,356,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0,576583.0
46,2011-11-01,654948,318,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001,406567.0
47,2011-12-01,724539,313,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999,862407.0000000001
48,2012-01-01,652692,379,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0,887151.9999999999
49,2012-02-01,592502,308,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0,703423.0
50,2012-03-01,658602,338,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0,462343.0
51,2012-04-01,626100,302,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0,646912.0
52,2012-05-01,650883,338,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0,794983.0
53,2012-06-01,695531,339,804447.0,799708.0,638428.0,799708.0,664048.0,1005487.0,685783.0,707868.0,887151.9999999999,852606.9999999999,469567.0,1097712.0,617463.0
